index1,link,report_date,firm_name_1,final_firm_location_1,firm_size_1,firm_name_2,final_firm_location_2,firm_size_2,merge_date
23,https://news.bloomberglaw.com/business-and-practice/crowell-moring-to-combine-with-wall-street-firm-kibbe-orbe?usertype=External&bwid=00000178-45e7-d7bb-ab78-65ef081b0001&qid=7076656&cti=&uc=&et=CHANNEL_NOTIFICATION&emc=bunw_cn%3A4&source=breaking-news&item=read-button&region=featured-story&access-ticket=eyJjdHh0IjoiQlVOVyIsImlkIjoiMDAwMDAxNzgtNDVlNy1kN2JiLWFiNzgtNjVlZjA4MWIwMDAxIiwic2lnIjoiWlZWdHJZRFQvQnRMVGpsSXA5eVdhWFJBK2VZPSIsInRpbWUiOiIxNjE2MDg0MDkxIiwidXVpZCI6IjVhVmRWdHl2Mk12VTN5RDB1VytndkE9PVQ3Qmxkd3lhZjZmb0dlaFRodjNTTEE9PSIsInYiOiIxIn0%3D,3/18/21,Crowell & Moring,"Washington, D.C.",560.0,Kibbe & Orbe,"New York, New York",24.0,
24,https://www.daypitney.com/news/2021/07/01-dp-completes-merger-with-hek,3/23/21,Day Pitney,"Parsippany, New Jersey",276.0,Howland Evangelista Kohlenberg,"Providence, Rhode Island",9.0,7/1/2021
25,https://www.businesswire.com/news/home/20210330005698/en/Gertsburg-Law-Firm-and-Licata-Law-Group-Merge-to-Form-Gertsburg-Licata-Co.-LPA,3/30/21,Gertsburg Law Firm,"Chagrin Falls, Ohio",3.0,Licata Law Group,"Independence, Ohio",3.0,3/30/2021
26,http://www.sfvbj.com/news/2021/mar/31/alpert-barr-shenon-law-merge/,3/31/21,Alpert Barr & Grant,"Encino, California",7.0,Shenon Law,"Sherman Oaks, California",3.0,
27,https://knsiradio.com/2021/04/01/st-cloud-based-law-firm-expanding/,04/01/21,Quinlivan and Hughes,"St. Cloud, Minnesota",9.0,Brown Krueger & Vancura,"Long Prairie, Minnesota",2.0,4/1/2021
28,https://www.law.com/2021/04/01/dentons-enters-nigeria-via-combination-with-52-lawyer-firm-292-85001/,04/01/21,Dentons,"New York, New York",10000.0,ACAS Law,"Lagos, Nigeria",52.0,
29,https://hallboothsmith.com/hall-booth-smith-expands-in-new-jersey-with-addition-of-norton-murphy-attorneys/,04/01/21,Hall Booth,"Atlanta, Georgia",232.0,Norton Murphy Sheehy & Corrubia,"Woodland Park, New Jersey",7.0,
30,https://www.wisbusiness.com/2021/gerbers-law-to-combine-practice-with-dewitt-llp/,04/05/21,DeWitt LLP,"Madison, Wisconsin",117.0,Gerbers Law,"Green Bay, Wisconsin",5.0,4/2/2021
31,https://plus.lexis.com/document/?pdmfid=1530671&crid=068cf195-e23c-4ba3-bf6a-cf3966bf18ea&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A62H8-FTC1-F0YC-N175-00000-00&pdcontentcomponentid=438639&pdworkfolderlocatorid=NOT_SAVED_IN_WORKFOLDER&prid=0d8aece9-ba73-4961-833f-51f2a2c2281b&ecomp=gf4hk&earg=sr12,4/23/2021,Dentons,"New York, New York",,"Vallenilla, Escalante & Asociados (VEA)","Caracas, Venezuela",,
32,https://plus.lexis.com/api/permalink/f290b3cc-ff50-4b49-8965-289d8853cb3b/?context=1530671,4/30/2021,"Johnson, Pope, Bokor, Ruppel, and Burns","Tampa, Florida",85.0,"Powell, Carney, Maller","St. Petersburg, Florida",3.0,
33,https://www.law360.com/articles/1380562/fox-rothschild-adds-4-attys-to-tax-group-with-atlanta-merger,4/30/2021,Fox Rothschild,"Philadelphia, Pennsylvania",950.0,Abrams Davis Mason Long,"Atlanta, Georgia",4.0,
34,https://www.sheeheyvt.com/2021/05/03/sheehey-and-hershenson-carter-join-to-form-law-firm-serving-vermont-and-new-hampshire/,5/3/2021,"Sheehey Furlong & Behm, PC","Burlington, Vermont",25.0,"Hershenson, Carter, Scott and McGee PC","Hartford, Vermont",4.0,5/1/2021
35,https://www.law360.com/articles/1383219/shook-hardy-nabs-6-tech-transactions-attys-in-seattle,5/10/2021,"Shook, Hardy & Bacon LLP","Kansas City, Missouri",400.0,Ragen Swan PLLC,"Seattle, Washington",6.0,6/1/2021
36,https://nasonyeager.com/nason-yeager-gerson-harris-fumero-and-haile-shaw-pfaffenberger-announce-merger/,5/20/2021,Nason Yeager Gerson Harris & Fumero,"Palm Beach, Florida",31.0,Haile Shaw & Pfaffenberger,"Palm Beach, Florida",9.0,6/1/2021
37,https://www.law360.com/pulse/articles/1388404/deloitte-legal-acquires-italian-firm-in-continued-expansion,5/26/2021,Deloitte Legal,"New York, New York",2500.0,Munari Giudici Maniglio Panfili Associati,"Genoa, Italy",20.0,6/1/2021
38,https://www.macelree.com/macelree-harvey-to-merge-with-delawares-crossland-heinle-bryde/,6/17/2021,MacElree Harvey,"West Chester, Pennsylvania",36.0,"Crossland, Heinle & Bryde","Hockessin, Delaware",4.0,7/1/2021
