legacy_id,name,firm,practice,date,award
1387842,Angela Libby,Davis Polk,"['Bankruptcy', 'Energy']",2021,Rising Stars
1387836,Luna Ngan Barrington,Weil Gotshal,['Trials'],2021,Rising Stars
1387787,Rakesh Kilaru,Wilkinson Stekloff,['Sports & Betting'],2021,Rising Stars
1387785,Kegan Brown,Latham & Watkins,['Environmental'],2021,Rising Stars
1387783,Vinay Kurien,Jones Day,['Banking'],2021,Rising Stars
1387299,Nicola Higgs,Latham & Watkins,['Banking'],2021,Rising Stars
1387298,Sarah Young,Ropes & Gray,['Mergers & Acquisitions'],2021,Rising Stars
1387293,Jason Krochak,Proskauer Rose,['Sports & Betting'],2021,Rising Stars
1386948,Silpa Maruri,Quinn Emanuel,['Private Equity'],2021,Rising Stars
1386941,Stacy Hadeka,Hogan Lovells,['Government Contracts'],2021,Rising Stars
1386939,Camille Fundora Rodriguez,Berger Montague,['Employment'],2021,Rising Stars
1386938,Amber Rogers,Hunton Andrews,['Employment'],2021,Rising Stars
1386931,Sara Goldstein,BakerHostetler,['Cybersecurity & Privacy'],2021,Rising Stars
1386913,Michelle Prejean Scheffler,Haynes and Boone,"['Energy', 'Texas Pulse']",2021,Rising Stars
1386904,Stuart Weissman,Ratzan Weissman,['Trials'],2021,Rising Stars
1386903,Geeta Malhotra,Sidley Austin,['White Collar'],2021,Rising Stars
1386901,Rachael Coffey,Paul Weiss,['Mergers & Acquisitions'],2021,Rising Stars
1386899,Melanie Wilson Rughani,Crowe & Dunlevy,['Appellate'],2021,Rising Stars
1386499,Brian Frey,Alston & Bird,['White Collar'],2021,Rising Stars
1386447,Fran Faircloth,Ropes & Gray,['Cybersecurity & Privacy'],2021,Rising Stars
1386446,Celia Soehner,Morgan Lewis,['Capital Markets'],2021,Rising Stars
1386445,Bob Allen,Kirkland & Ellis,['Banking'],2021,Rising Stars
1386444,Elizabeth Tuan,Irell & Manella,['Intellectual Property'],2021,Rising Stars
1386440,Meg McIntyre,Hogan Lovells,['Benefits'],2021,Rising Stars
1386437,Jake Kling,Wachtell Lipton,['Mergers & Acquisitions'],2021,Rising Stars
1386436,Kevin R. Budner,Lieff Cabraser,['Class Action'],2021,Rising Stars
1386434,Alexandre Arlota,Mattos Filho,['Construction'],2021,Rising Stars
1386421,Erin Meyer,Keker Van Nest,['Class Action'],2021,Rising Stars
1386418,Patrick F. Madden,Berger Montague,['Class Action'],2021,Rising Stars
1386417,Sarah L. Brodie,Morgan Lewis,['Tax'],2021,Rising Stars
1386415,Andrew O'Connor,Ropes & Gray,['Health'],2021,Rising Stars
1386414,Eric Rumanek,Troutman Sanders,['Product Liability'],2021,Rising Stars
1386410,Jonathan A. Herstoff,Haug Partners,['Appellate'],2021,Rising Stars
1386009,Samantha Gleit,Feuerstein Kulick,['Cannabis'],2021,Rising Stars
1386007,Josh Christensen,Paul Hastings,['Compliance'],2021,Rising Stars
1386001,Amanda K. Rice,Jones Day,"['Appellate', 'Courts']",2021,Rising Stars
1385560,Leslie Bailey,Arnold & Porter,['International Trade'],2021,Rising Stars
1385557,Stephanie M. Harden,Blank Rome,['Government Contracts'],2021,Rising Stars
1385556,Janine Stanisz,Pillsbury Winthrop,['Insurance'],2021,Rising Stars
1385078,Keith Hallam,Cravath Swaine,['Mergers & Acquisitions'],2021,Rising Stars
1385076,Hannah Lee,Kramer Levin,['Intellectual Property'],2021,Rising Stars
1385075,Dohyun (Do) Kim,Skadden,['Mergers & Acquisitions'],2021,Rising Stars
1384302,Lindsay O'Neil,Mayer Brown,['Capital Markets'],2021,Rising Stars
1384301,Amy Proctor,Irell & Manella,['Technology'],2021,Rising Stars
1384299,Luke Eaton,Troutman Sanders,['Construction'],2021,Rising Stars
1384298,Arpan Sura,Hogan Lovells,['Telecommunications'],2021,Rising Stars
1384297,Andrew Golodny,Steptoe & Johnson LLP,['Telecommunications'],2021,Rising Stars
1384295,Lin W. Kahn,Jones Day,['Competition'],2021,Rising Stars
1384294,Nathan Mitchell,Kirkland & Ellis,['International Trade'],2021,Rising Stars
1384293,Erica Rice,Foley Hoag,['Cannabis'],2021,Rising Stars
1384290,Daniel Lloyd,Simpson Thacher,['Fund Formation'],2021,Rising Stars
1384288,Madison Kitchens,King & Spalding,['Class Action'],2021,Rising Stars
1384287,Leah Chacon,Skadden,['Project Finance'],2021,Rising Stars
1384286,David Ziyambi,Latham & Watkins,['Project Finance'],2021,Rising Stars
1384284,Emily Ullman,Covington & Burling,['Product Liability'],2021,Rising Stars
1384264,Tara L. Ward,Wiley Rein,['Government Contracts'],2021,Rising Stars
1384262,Lavinia Weizel,Mintz Levin,['Insurance'],2021,Rising Stars
1384261,Kendall Johnson,Latham & Watkins,['Sports & Betting'],2021,Rising Stars
1384259,Julius M. Redd,Beveridge & Diamond,['Environmental'],2021,Rising Stars
1384257,David J. Lisko,Holland & Knight,['Sports & Betting'],2021,Rising Stars
1384231,Ted Dillman,Latham & Watkins,['Bankruptcy'],2021,Rising Stars
1384230,Candace M. Arthur,Weil Gotshal,['Bankruptcy'],2021,Rising Stars
1384227,Marissa Boynton,Latham & Watkins,['Cybersecurity & Privacy'],2021,Rising Stars
1384222,Katherine Lubin Benson,Lieff Cabraser,['Securities'],2021,Rising Stars
1384221,Daniel Kay,Simpson Thacher,['Banking'],2021,Rising Stars
1384219,Gavin Masuda,Latham & Watkins,['Securities'],2021,Rising Stars
1384218,Andrew Carty,Brown Rudnick,['Bankruptcy'],2021,Rising Stars
1384216,Antonio M. Pozos,Faegre Baker,['White Collar'],2021,Rising Stars
1384211,Kuan Huang,Latham & Watkins,['Trials'],2021,Rising Stars
1384206,Craig Zieminski,Vinson & Elkins,['Trials'],2021,Rising Stars
1383825,Jessica L. Falk,Weil Gotshal,['Intellectual Property'],2021,Rising Stars
1383821,Andrew Devore,Ropes & Gray,['Bankruptcy'],2021,Rising Stars
1383819,Yasin Keshvargar,Davis Polk,['Capital Markets'],2021,Rising Stars
1383815,Brian E. Rosenzweig,Simpson Thacher,['Energy'],2021,Rising Stars
1383813,Jocelyn R. Cuttino,Morgan Lewis,['Employment'],2021,Rising Stars
1383811,Chris Gladbach,McDermott Will,['Project Finance'],2021,Rising Stars
1383808,Jed Miller,Cadwalader Wickersham,['Capital Markets'],2021,Rising Stars
1383806,Christopher Anthony,Debevoise & Plimpton,['Private Equity'],2021,Rising Stars
1383803,Justin Stewart-Teitelbaum,Freshfields,['Competition'],2021,Rising Stars
1383802,William R. Taylor,Jones Day,['Construction'],2021,Rising Stars
